id,Title,Link,symptom1,symptom2,cause
72941116,CUDA optimise number of blocks for grid stride loop,https://stackoverflow.com/questions/72941116/cuda-optimise-number-of-blocks-for-grid-stride-loop,K.T.-Long Execution Time for Code Blocks,C.T.-Low Compute Throughput,Warp-Improper Kernel Launch Paramters
67250196-0,How to get &quot;sum&quot; of parallel arrays in cuda?,https://stackoverflow.com/questions/67250196/how-to-get-sum-of-parallel-arrays-in-cuda,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,Warp-Improper Kernel Launch Paramters
67250196-1,How to get &quot;sum&quot; of parallel arrays in cuda?,https://stackoverflow.com/questions/67250196/how-to-get-sum-of-parallel-arrays-in-cuda,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,Memory-Uncoalesced Memory Accesses
67250196-2,How to get &quot;sum&quot; of parallel arrays in cuda?,https://stackoverflow.com/questions/67250196/how-to-get-sum-of-parallel-arrays-in-cuda,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,Data-Inefficient Data Transfer
67250196-3,How to get &quot;sum&quot; of parallel arrays in cuda?,https://stackoverflow.com/questions/67250196/how-to-get-sum-of-parallel-arrays-in-cuda,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,API-Efficient APIs Not Used
64664431,CUDA - CUBLAS: issues solving many (3x3) dense linear systems,https://stackoverflow.com/questions/64664431/cuda-cublas-issues-solving-many-3x3-dense-linear-systems,Memory-Memory Leaks,Memory-Low Memory Throughput,Memory-Small Memory Allocation Granularity
76745515-0,Which of the following approaches is more suitable for CUDA parallelism?,https://stackoverflow.com/questions/76745515/which-of-the-following-approaches-is-more-suitable-for-cuda-parallelism,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,Warp-Improper Kernel Launch Paramters
76745515-1,Which of the following approaches is more suitable for CUDA parallelism?,https://stackoverflow.com/questions/76745515/which-of-the-following-approaches-is-more-suitable-for-cuda-parallelism,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,Warp-Imbalanced Thread Workload
76745515-2,Which of the following approaches is more suitable for CUDA parallelism?,https://stackoverflow.com/questions/76745515/which-of-the-following-approaches-is-more-suitable-for-cuda-parallelism,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,API-Efficient APIs Not Used
72345410,All blocks read same global memory location section. Fastest method is?,https://stackoverflow.com/questions/72345410/all-blocks-read-same-global-memory-location-section-fastest-method-is,K.T.-Long Execution Time for Kernel Function,Memory-Low Memory Throughput,MemoryImcompatible Memory Type and Access Pattern
246930,CUDA block scheduling problems,https://forums.developer.nvidia.com/t/cuda-block-scheduling-problems/246930 ,K.T.-Long Kernel Launch Time,,Compilation-Unable to Perform Automatic Inlining Optimization
253551,How to use more efficiently the shared memory and 2D tiles,https://forums.developer.nvidia.com/t/how-to-use-more-efficiently-the-shared-memory-and-2d-tiles/253551 ,K.T.-Long Execution Time for Kernel Function,Memory-Low Memory Throughput,Warp-Imbalanced Thread Workload
276316,Maximizing the number of threads per block leads to longer kernel execution times,https://forums.developer.nvidia.com/t/maximizing-the-number-of-threads-per-block-leads-to-longer-kernel-execution-times/276316 ,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,Warp-Improper Kernel Launch Paramters
270318,Low utilization of warp per scheduler for bit pack operation (Morton Code),https://forums.developer.nvidia.com/t/low-utilization-of-warp-per-scheduler-for-bit-pack-operation-morton-code/270318 ,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,Algorithm-Inefficient Algorithms Selection
281663,Type conversion throughput/latency,https://forums.developer.nvidia.com/t/type-conversion-throughput-latency/281663 ,K.T.-Long Execution Time for Code Blocks,C.T.-Low Compute Throughput,Data-Incompatible Data Types
273109,Cannot achieve max shared memory bandwith,https://forums.developer.nvidia.com/t/cannot-achieve-max-shared-memory-bandwith/273109 ,Memory-Low Memory Throughput,,CUDA Toolkits-Buggy CUDA Toolkits
195076,Terrible performance from very simple kernel,https://forums.developer.nvidia.com/t/terrible-performance-from-very-simple-kernel/195076 ,Memory-Low Memory Throughput,,Compilation-Debugging Mode Used
112768,Divide loop to increase occupancy,https://forums.developer.nvidia.com/t/divide-loop-to-increase-occupancy/112768 ,K.T.-Long Execution Time for Kernel Function,C.T.-Low Compute Throughput,Warp-Improper Kernel Launch Paramters
158679,Building a tab with a recursive function - very slow for 1 to 4 threads and does not work with >4 threads,https://forums.developer.nvidia.com/t/building-a-tab-with-a-recursive-function-very-slow-for-1-to-4-threads-and-does-not-work-with-4-threads/158679 ,Memory-Low Memory Throughput,,Warp-Imbalanced Thread Workload
282184-0,DRAM Excessive Read Sectors,https://forums.developer.nvidia.com/t/dram-excessive-read-sectors/282184 ,K.T.-Long Execution Time for Kernel Function,Memory-Low Memory Throughput,Memory-Uncoalesced Memory Accesses
282184-1,DRAM Excessive Read Sectors,https://forums.developer.nvidia.com/t/dram-excessive-read-sectors/282184 ,K.T.-Long Execution Time for Kernel Function,Memory-Low Memory Throughput,API-Efficient APIs Not Used
